period,nerc.region,demand.mwh,SO2
2020-01-17T03,RFC,200364,0
2020-01-17T04,RFC,192774,0
2020-01-17T05,RFC,187810,0
2020-01-17T06,RFC,182980,0
2020-01-17T07,RFC,180082,0
2020-01-17T08,RFC,179854,0
2020-01-17T09,RFC,180868,0
2020-01-17T10,RFC,184990,0
2020-01-17T11,RFC,193260,0
2020-01-17T12,RFC,209440,0
2020-01-17T13,RFC,219586,0
2020-01-17T14,RFC,218994,0
2020-01-17T15,RFC,214722,0
2020-01-17T16,RFC,211104,0
2020-01-17T17,RFC,205612,0
2020-01-17T18,RFC,201442,0
2020-01-17T19,RFC,198640,0
2020-01-17T20,RFC,197670,0
2020-01-17T21,RFC,199386,0
2020-01-17T22,RFC,203270,0
2020-01-17T23,RFC,213708,0
2020-01-18T00,RFC,217180,0
2020-01-18T01,RFC,215092,0
2020-01-18T02,RFC,211816,0
2020-01-18T03,RFC,206940,0
2020-01-18T04,RFC,199666,0
2020-01-18T05,RFC,193422,0
2020-01-18T06,RFC,188118,0
2020-01-18T07,RFC,183402,0
2020-01-18T08,RFC,182794,0
2020-01-18T09,RFC,180170,0
2020-01-18T10,RFC,179666,0
2020-01-18T11,RFC,181910,0
2020-01-18T12,RFC,186542,0
2020-01-18T13,RFC,192696,0
2020-01-18T14,RFC,198056,0
2020-01-18T15,RFC,201628,0
2020-01-18T16,RFC,204050,0
2020-01-18T17,RFC,204172,0
2020-01-18T18,RFC,203050,0
2020-01-18T19,RFC,199994,0
2020-01-18T20,RFC,198142,0
2020-01-18T21,RFC,197496,0
2020-01-18T22,RFC,199964,0
2020-01-18T23,RFC,205642,0
2020-01-19T00,RFC,205228,0
2020-01-19T01,RFC,200964,0
2020-01-19T02,RFC,196282,0
2020-01-19T03,RFC,190756,0
2020-01-19T04,RFC,185922,0
2020-01-19T05,RFC,181516,0
2020-01-19T06,RFC,174126,0
2020-01-19T07,RFC,170806,0
2020-01-19T08,RFC,169426,0
2020-01-19T09,RFC,169126,0
2020-01-19T10,RFC,170450,0
2020-01-19T11,RFC,171312,0
2020-01-19T12,RFC,175582,0
2020-01-19T13,RFC,179654,0
2020-01-19T14,RFC,184376,0
2020-01-19T15,RFC,187368,0
2020-01-19T16,RFC,187176,0
2020-01-19T17,RFC,186494,0
2020-01-19T18,RFC,186054,0
2020-01-19T19,RFC,185196,0
2020-01-19T20,RFC,185454,0
2020-01-19T21,RFC,187894,0
2020-01-19T22,RFC,194580,0
2020-01-19T23,RFC,205940,0
2020-01-20T00,RFC,212326,0
2020-01-20T01,RFC,212312,0
2020-01-20T02,RFC,210950,0
2020-01-20T03,RFC,207006,0
2020-01-20T04,RFC,201144,0
2020-01-20T05,RFC,195426,0
2020-01-20T06,RFC,193238,0
2020-01-20T07,RFC,192334,0
2020-01-20T08,RFC,192398,0
2020-01-20T09,RFC,192446,0
2020-01-20T10,RFC,195248,0
2020-01-20T11,RFC,204012,0
2020-01-20T12,RFC,216184,0
2020-01-20T13,RFC,225504,0
2020-01-20T14,RFC,227218,0
2020-01-20T15,RFC,225030,0
2020-01-20T16,RFC,221020,0
2020-01-20T17,RFC,216564,0
2020-01-20T18,RFC,212010,0
2020-01-20T19,RFC,208466,0
2020-01-20T20,RFC,206484,0
2020-01-20T21,RFC,207090,0
2020-01-20T22,RFC,212534,0
2020-01-20T23,RFC,224548,0
2020-01-21T00,RFC,230812,0
2020-01-21T01,RFC,229854,0
2020-01-21T02,RFC,226792,0
2020-01-21T03,RFC,220668,0
2020-01-21T04,RFC,211286,0
2020-01-21T05,RFC,204172,0
2020-01-21T06,RFC,199484,0
2020-01-21T07,RFC,197598,0
2020-01-21T08,RFC,198494,0
2020-01-21T09,RFC,199342,0
2020-01-21T10,RFC,202828,0
2020-01-21T11,RFC,213088,0
2020-01-21T12,RFC,229816,0
2020-01-21T13,RFC,239536,0
2020-01-21T14,RFC,235874,0
2020-01-21T15,RFC,227770,0
2020-01-21T16,RFC,220928,0
2020-01-21T17,RFC,214754,0
2020-01-21T18,RFC,209458,0
2020-01-21T19,RFC,206118,0
2020-01-21T20,RFC,205114,0
2020-01-21T21,RFC,204990,0
2020-01-21T22,RFC,208518,0
2020-01-21T23,RFC,220452,0
2020-01-22T00,RFC,228444,0
2020-01-22T01,RFC,228134,0
2020-01-22T02,RFC,225886,0
2020-01-22T03,RFC,220012,0
2020-01-22T04,RFC,211448,0
2020-01-22T05,RFC,205616,0
2020-01-22T06,RFC,200136,0
2020-01-22T07,RFC,197056,0
2020-01-22T08,RFC,197650,0
2020-01-22T09,RFC,198730,0
2020-01-22T10,RFC,203332,0
2020-01-22T11,RFC,213784,0
2020-01-22T12,RFC,230762,0
2020-01-22T13,RFC,240194,0
2020-01-22T14,RFC,235378,0
2020-01-22T15,RFC,224238,0
2020-01-22T16,RFC,215046,0
2020-01-22T17,RFC,207996,0
2020-01-22T18,RFC,202020,0
2020-01-22T19,RFC,198390,0
2020-01-22T20,RFC,196290,0
2020-01-22T21,RFC,195862,0
2020-01-22T22,RFC,198506,0
2020-01-22T23,RFC,209868,0
2020-01-23T00,RFC,217526,0
2020-01-23T01,RFC,217814,0
2020-01-23T02,RFC,215920,0
2020-01-23T03,RFC,210350,0
2020-01-23T04,RFC,200898,0
2020-01-23T05,RFC,193294,0
2020-01-23T06,RFC,189466,0.029
2020-01-23T07,RFC,189714,0.014
2020-01-23T08,RFC,189474,0.036
2020-01-23T09,RFC,189826,0
2020-01-23T10,RFC,192486,0
2020-01-23T11,RFC,201442,0
2020-01-23T12,RFC,217896,0
2020-01-23T13,RFC,226506,0
2020-01-23T14,RFC,223520,0
2020-01-23T15,RFC,216730,0
2020-01-23T16,RFC,210250,0
2020-01-23T17,RFC,203406,0
2020-01-23T18,RFC,199352,0
2020-01-23T19,RFC,196486,0
2020-01-23T20,RFC,194126,0
2020-01-23T21,RFC,193778,0
2020-01-23T22,RFC,197656,0
2020-01-23T23,RFC,206120,0
2020-01-24T00,RFC,210022,0
2020-01-24T01,RFC,208702,0
2020-01-24T02,RFC,204602,0
2020-01-24T03,RFC,197966,0
2020-01-24T04,RFC,189466,0
2020-01-24T05,RFC,183566,0
2020-01-24T06,RFC,177822,0
2020-01-24T07,RFC,174700,0
2020-01-24T08,RFC,174504,0
2020-01-24T09,RFC,174952,0.006
2020-01-24T10,RFC,176442,0
2020-01-24T11,RFC,181140,0
2020-01-24T12,RFC,195540,0
2020-01-24T13,RFC,204562,0
2020-01-24T14,RFC,203750,0
2020-01-24T15,RFC,199968,0
2020-01-24T16,RFC,196064,0
2020-01-24T17,RFC,192044,0
2020-01-24T18,RFC,188818,0
2020-01-24T19,RFC,186362,0
2020-01-24T20,RFC,184520,0
2020-01-24T21,RFC,183642,0
2020-01-24T22,RFC,186088,0
2020-01-24T23,RFC,191936,0
2020-01-25T00,RFC,192888,0
2020-01-25T01,RFC,189360,0
2020-01-25T02,RFC,185718,0
2020-01-25T03,RFC,180088,0
2020-01-25T04,RFC,173226,0
2020-01-25T05,RFC,167902,0
2020-01-25T06,RFC,162570,0
2020-01-25T07,RFC,158700,0
2020-01-25T08,RFC,156656,0
2020-01-25T09,RFC,155640,0
2020-01-25T10,RFC,155876,0
2020-01-25T11,RFC,159424,0
2020-01-25T12,RFC,164740,0
2020-01-25T13,RFC,169548,0
2020-01-25T14,RFC,175504,0
2020-01-25T15,RFC,179462,0
2020-01-25T16,RFC,181438,0
2020-01-25T17,RFC,181026,0
2020-01-25T18,RFC,179230,0
2020-01-25T19,RFC,176314,0
2020-01-25T20,RFC,174338,0
2020-01-25T21,RFC,173482,0
2020-01-25T22,RFC,175750,0
2020-01-25T23,RFC,182534,0
2020-01-26T00,RFC,185900,0
2020-01-26T01,RFC,184226,0
2020-01-26T02,RFC,181708,0
2020-01-26T03,RFC,177820,0
2020-01-26T04,RFC,172380,0
2020-01-26T05,RFC,167028,0
2020-01-26T06,RFC,164810,0
2020-01-26T07,RFC,164100,0
2020-01-26T08,RFC,162568,0
2020-01-26T09,RFC,162078,0
2020-01-26T10,RFC,162756,0
2020-01-26T11,RFC,164562,0
2020-01-26T12,RFC,169608,0
2020-01-26T13,RFC,174344,0
2020-01-26T14,RFC,176996,0
2020-01-26T15,RFC,176362,0
2020-01-26T16,RFC,174192,0
2020-01-26T17,RFC,173548,0
2020-01-26T18,RFC,173370,0
2020-01-26T19,RFC,172678,0
2020-01-26T20,RFC,173804,0
2020-01-26T21,RFC,175238,0
2020-01-26T22,RFC,178406,0
2020-01-26T23,RFC,187050,0
2020-01-27T00,RFC,192924,0
2020-01-27T01,RFC,192896,0
2020-01-27T02,RFC,189766,0
2020-01-27T03,RFC,184354,0
2020-01-27T04,RFC,176780,0
2020-01-27T05,RFC,172802,0
2020-01-27T06,RFC,170356,0
2020-01-27T07,RFC,168780,0
2020-01-27T08,RFC,168246,0
2020-01-27T09,RFC,167670,0
2020-01-27T10,RFC,170498,0
2020-01-27T11,RFC,179832,0
2020-01-27T12,RFC,195970,0
2020-01-27T13,RFC,206242,0
2020-01-27T14,RFC,205724,0
2020-01-27T15,RFC,202422,0
2020-01-27T16,RFC,199376,0
2020-01-27T17,RFC,196634,0
2020-01-27T18,RFC,194966,0
2020-01-27T19,RFC,193894,0
2020-01-27T20,RFC,192098,0
2020-01-27T21,RFC,191804,0
2020-01-27T22,RFC,194842,0
2020-01-27T23,RFC,202686,0
2020-01-28T00,RFC,207176,0
2020-01-28T01,RFC,205086,0
2020-01-28T02,RFC,201330,0
2020-01-28T03,RFC,194046,0
2020-01-28T04,RFC,184570,0
2020-01-28T05,RFC,178724,0
2020-01-28T06,RFC,172448,0
2020-01-28T07,RFC,169716,0
2020-01-28T08,RFC,169748,0
2020-01-28T09,RFC,170032,0
2020-01-28T10,RFC,171358,0
2020-01-28T11,RFC,177982,0
2020-01-28T12,RFC,193144,0
2020-01-28T13,RFC,203366,0
2020-01-28T14,RFC,202918,0
2020-01-28T15,RFC,200476,0
2020-01-28T16,RFC,199072,0
2020-01-28T17,RFC,198548,0
2020-01-28T18,RFC,197548,0
2020-01-28T19,RFC,197040,0
2020-01-28T20,RFC,195902,0
2020-01-28T21,RFC,195948,0
2020-01-28T22,RFC,199328,0
2020-01-28T23,RFC,206516,0
2020-01-29T00,RFC,210778,0
2020-01-29T01,RFC,209010,0
2020-01-29T02,RFC,205316,0
2020-01-29T03,RFC,198376,0
2020-01-29T04,RFC,188186,0
2020-01-29T05,RFC,180618,0
2020-01-29T06,RFC,178304,0
2020-01-29T07,RFC,176198,0
2020-01-29T08,RFC,175284,0
2020-01-29T09,RFC,175672,0
2020-01-29T10,RFC,176790,0
